INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
862298,16-JAN-15,8972,STANTEC CONSULTING INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-other,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,8985.5
PPE 122514,02-JAN-15,1331,RPSAE Dues,ADP PAYROLL - VENDORS PD BY ACH,GENERAL FUND-RPSAE Dues,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1947
297761,16-JAN-15,1783,WEBSOFT DEVELOPERS INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-other,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,14412.5
71129414-001,16-JAN-15,6395,,STAFFING/TEMPORARY SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-personnel,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,22.69
9034672161,16-JAN-15,6490,AIRGAS INC,FUELS/GAS/DIESEL/PROPANE,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,3.13
0000498631,16-JAN-15,50,APEX SAW WORKS,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,70
9623763191,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,28.78
9623896843,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,104.8
9619327431,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,150.4
9619327423,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,1.84
9625272639,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,505.62
9624132628,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,9.4
9620219551,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,28.96
9624132636,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,32.58
9622718261,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,11.15
9621489328,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,113.94
9623896850,16-JAN-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,89.2
67329,16-JAN-15,8368,NORTH AMERICAN EMBROIDERY,"CLOTHING, UNIFORMS",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,158.25
67328,16-JAN-15,8368,NORTH AMERICAN EMBROIDERY,"CLOTHING, UNIFORMS",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,307.96
67362,16-JAN-15,8368,NORTH AMERICAN EMBROIDERY,"CLOTHING, UNIFORMS",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,899.33
61348,16-JAN-15,38404,PAC MACHINE COMPANY INC,Rebuild Flight Mixer for Sky Vista Lift Station,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,3842
56160,16-JAN-15,4280,QB WEST INC,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,237.69
108399,16-JAN-15,111,SAFETY ON SITE,FIRST AID/SAFETY SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,15.21
246049,16-JAN-15,2250,TITAN CONSTRUCTION SUPPLY INC,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,864.12
2015-00002474,16-JAN-15,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,57.3
2015-00002515,16-JAN-15,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,89.88
41445,16-JAN-15,9293,WORK WORLD,"CLOTHING, PROTECTIVE",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,224.96
15716,16-JAN-15,5515,,Odor and corrosion control chemical,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,5940
15230820,16-JAN-15,3233,BROWN AND CALDWELL,I400065 contract 2013 sewer rehab ph 2,SANITARY SEWER O/M FUND-Public Works-Sewer Lines Capital Projects-Capital projects,Public Works,1200,Public Works-Sewer Lines Capital Projects,1200-1244,Fiscal 14/15,59202.51
13078-016,16-JAN-15,1408,Q & D CONSTRUCTION,CONTRACTORS,SANITARY SEWER CAPITAL PROJECTS-Public Works-Sewer Lines Capital Projects-Capital projects,Public Works,1200,Public Works-Sewer Lines Capital Projects,1200-1244,Fiscal 14/15,93714.96
43184,16-JAN-15,6101,,De-icing sand for storms,STREET FUND-Public Works-Snow & Ice Control-Supplies,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,2361.688
43192,16-JAN-15,6101,,De-icing sand for storms,STREET FUND-Public Works-Snow & Ice Control-Supplies,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,573.5528
861670,16-JAN-15,8972,STANTEC CONSULTING INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Outside services-other,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,982.3
2015-00002475,16-JAN-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Public Works-Traffic Engineering & Operations-Communication,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,104
67362,16-JAN-15,8368,NORTH AMERICAN EMBROIDERY,"CLOTHING, UNIFORMS",GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,77.97
2015-00002460,16-JAN-15,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,23856.67
2015-00002473,16-JAN-15,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,526.03
01-349729,16-JAN-15,4709,"R&E FASTENERS, INC.",SHOP EQUIPMENT/SUPPLIES,GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,54.4
2.1.15,16-JAN-15,4004,"WEST STREET VENTURE, LLC.","RENTALS , Buildings/Land",REDEVELOPMENT # 1 GENERAL FUND-Redevelopment-West St. Market-Rentals,Redevelopment,1800,Redevelopment-West St. Market,1800-0080,Fiscal 14/15,12110
2015-00002461,16-JAN-15,4004,"WEST STREET VENTURE, LLC.",2014 NNN PAYMENTS,REDEVELOPMENT # 1 GENERAL FUND-Redevelopment-West St. Market-Outside services-other,Redevelopment,1800,Redevelopment-West St. Market,1800-0080,Fiscal 14/15,9260.79
WE 01/15/15,15-JAN-15,6043,,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,778.37
CLAIMS WK 011415,14-JAN-15,5256,CDS GROUP HEALTH,MEDICAL/DENTAL SERVICES,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,87783.69
CLAIMS WK 011415,14-JAN-15,5256,CDS GROUP HEALTH,MEDICAL/DENTAL SERVICES,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,353078.87
LTER CRE OCT 14,12-JAN-15,33,BANK OF AMERICA - CARDS,OCT THROUGH DEC 2014,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,230628.91
51108717 16 09,12-JAN-15,6155,,151CF1759HZ71V59,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,718.11
51108717 16 09,12-JAN-15,6155,,151CF1759HZ71V59,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,625.68
51108717 16 09,12-JAN-15,6155,,151CF1759HZ71V59,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,16360.83
51108717 16 09,12-JAN-15,6155,,151CF1759HZ71V59,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,24276.21
2569-322818,02-JAN-15,5707,,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,46.14
51108717 16 09,12-JAN-15,6155,,151CF1759HZ71V59,HIGH DEDUCTIBLE SF MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,-2.37
BENFIT CARD1/11,11-JAN-15,5256,CDS GROUP HEALTH,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,19785.98
2015-00002443,09-JAN-15,5037,STATE BAR OF NEVADA,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,4037.5
830903688,09-JAN-15,730,THOMSON WEST,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,343
CHASE/2015,09-JAN-15,5391,WASHOE COUNTY BAR ASSOCIATION,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,150
611149,09-JAN-15,3129,RENO CARSON MESSENGER SERVICE,MESSENGER SERVICE,GENERAL FUND-City Attorney-Criminal Division-Messenger service,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,285
2015-00002443,09-JAN-15,5037,STATE BAR OF NEVADA,MEMBERSHIPS/ASSOCIATIONS,GENERAL FUND-City Attorney-Criminal Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,2312.5
2015-00002451,09-JAN-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00002452,09-JAN-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
39822/2014,09-JAN-15,2955,WASHOE COUNTY REGISTRAR VOTERS,PROFESSIONAL SERVICES,GENERAL FUND-City Clerk-Council Support-Outside services-other,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,34047.6
71128337-004,09-JAN-15,6395,,STAFFING/TEMPORARY SERVICES,GENERAL FUND-City Clerk-Council Support-Outside services-personnel,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,264.69
32054,09-JAN-15,5518,HIGH DESERT MICROIMAGING,MICROFILM,GENERAL FUND-City Clerk-Records Management-Outside services-other,City Clerk,0200,City Clerk-Records Management,0200-0210,Fiscal 14/15,285.6
671666,09-JAN-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-City Council-Legislative-Supplies,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,50.83
"DECEMBER 5, 2014",09-JAN-15,1549,BOYNTON,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-NABS'S and Outreach-Outside services-other,City Manager,0300,City Manager-Neighborhood Services,0300-0166,Fiscal 14/15,500
41073,09-JAN-15,2,A CARLISLE & COMPANY,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,460
2015-00002444,09-JAN-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-City Manager-Public Information-Communication,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,158.86
3410,09-JAN-15,4330,G3 PRODUCTIONS LLC.,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1825.83
3409,09-JAN-15,4330,G3 PRODUCTIONS LLC.,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1273.33
3414,09-JAN-15,4330,G3 PRODUCTIONS LLC.,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1273.33
738579519001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,290.23
741229452001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
743199998001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,429.75
738582022001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,229.06
744128990001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,49.98
741547435001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
738593160001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1130.28
744369555001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,211.75
1733784252,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,35.75
744700835001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
743956311001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
742857387001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,21.77
736889335001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,314.95
744367469001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,83.75
742839225001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1435
742239481001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,48.25
743790296001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,29.25
743789944001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,16.38
741382651001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,2.08
1733784251,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,43.5
742706699001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,87.75
744086789001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,258.9
743378844001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.98
745264170001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,3.09
741596351001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,739.8
745028460001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,67.5
744151080001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,354.6
737481476001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,82.5
737490423001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,18
744779617001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
744782028001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
744783199001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,24.99
744700264001,09-JAN-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.98
2033,09-JAN-15,6511,,PHOTOGRAPHIC SUPPLIES/SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1250
260,09-JAN-15,6496,,PHOTOGRAPHIC SUPPLIES/SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,200
00206899-002-KB2,09-JAN-15,3675,FIRST CENTENNIAL TITLE,461606-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,141.21
12/1/14-12/31/14,09-JAN-15,9385,NEVADA STATE ATTORNEY GENERAL,FEES,COURT COLLECTION FUND-Due to attorney general,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,301.93
12/1/14-12/31/14,09-JAN-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State AOC",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,55073
12/1/14-12/31/14,09-JAN-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,4770
12/1/14-12/31/14,09-JAN-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-State DUI Specialty Ct",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,3468
12/1/14-12/31/14,09-JAN-15,453,NEVADA STATE CONTROLLER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Specialty Court",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,6626
12/1/14-12/31/14,09-JAN-15,3126,NEVADA STATE CONTROLLER'S OFFICE,FEES - VICTIMS OF CRIME STATE OF NEVADA PAYMENT,GENERAL FUND-Victims of Crimes bond fees-Stat,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2195
13538-11,09-JAN-15,1408,Q & D CONSTRUCTION,CONTRACTORS,"STREET FUND-Deposits, permanent patch - CY 2014",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,115777
806148,09-JAN-15,3586,RAY MORGAN CO. INC.,11/20/14-12/19/14,GENERAL FUND-Copier Lease Payment,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,6479.43
3-RETENTION,09-JAN-15,1965,"SPANISH SPRINGS CONSTRUCTION, INC.",CONTRACTORS,"GRANT FUNDED CAPITAL PROJECTS-Contracts payable, retained %",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,7711.1
CHECKFREE12/9/14,09-JAN-15,9999999999,TEMP,REFUND,GENERAL FUND-Accounts Payable - Other,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,50
372094,09-JAN-15,9999999999,TEMP,"REFUND, RENTALS","GENERAL FUND-Deposit, Bldgs/Alcohol Permits",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
356994,09-JAN-15,9999999999,TEMP,"REFUND, RENTALS","GENERAL FUND-Deposit, Bldgs/Alcohol Permits",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1000
